index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/politik/ausland/2026-06/libanon-wadephul-angriffe-eskalation,https://www.zeit.de/politik/ausland/2026-06/libanon-wadephul-angriffe-eskalation,0,www.zeit.de,Nahost: Außenminister kritisieren Eskalation im Libanon,Johann Wadephul und seine britische Amtskollegin sind besorgt über Israels erneute Angriffe im Libanon. Der UN-Sicherheitsrat will eine Dringlichkeitssitzung abhalten.,https://img.zeit.de/politik/ausland/2026-06/libanon-wadephul-eskalation-angriffe-bild/wide__1300x731,2026-06-01T02:45:53Z,,"Außenminister Johann Wadephul hat sich besorgt über das Vorrücken 
der israelischen Armee im Südlibanon geäußert. Es handle sich zwar um 
eine Reaktion auf die Angriffe der Hisbollah-Miliz, die auf… [+3090 chars]",,de,'Sicherheit'
https://www.nzz.ch/wirtschaft/explosive-stimmung-in-asien-und-afrika-die-folgen-des-iran-kriegs-werden-fuer-die-menschen-zur-existenziellen-bedrohung-ld.10008901,https://www.nzz.ch/wirtschaft/explosive-stimmung-in-asien-und-afrika-die-folgen-des-iran-kriegs-werden-fuer-die-menschen-zur-existenziellen-bedrohung-ld.10008901,0,www.nzz.ch,Explosive Stimmung in Asien und Afrika: Die Folgen des Iran-Kriegs werden für die Menschen zur existenziellen Bedrohung,"Die Dieselpreise haben sich verdoppelt, Beamte haben nur noch eine Vier-Tage-Woche, die Garküchen sind geschlossen. In vielen Schwellenländern zeigen sich die Auswirkungen der enormen Energiepreise immer stärker. Die NZZ-Korrespondenten berichten.","https://img-msp-prod.nzz.ch/2026/05/29/63c6562e-c92f-40b7-a293-6fa506326005.jpg?width=1200&height=675&fit=bounds&quality=75&auto=webp&crop=2384,1341,x0,y226&wmark=nzz",2026-06-01T03:30:00Z,,"Die Dieselpreise haben sich verdoppelt, Beamte haben nur noch eine Vier-Tage-Woche, die Garküchen sind geschlossen. In vielen Schwellenländern zeigen sich die Auswirkungen der enormen Energiepreise i… [+11872 chars]",,de,'Krieg'
https://www.stern.de/gesellschaft/regional/thueringen/sozialgerichte--tausende-verfahren-an-thueringens-sozialgerichten-37472084.html,https://www.stern.de/gesellschaft/regional/thueringen/sozialgerichte--tausende-verfahren-an-thueringens-sozialgerichten-37472084.html,0,www.stern.de,Sozialgerichte: Tausende Verfahren an Thüringens Sozialgerichten,"Es geht um Bürgergeld, gekürztes Arbeitslosengeld oder Rentenleistungen - die Klagen bei Thüringens Sozialgerichten steigen. Wie sich die Situation entwickelt hat.",https://image.stern.de/37472086/t/U6/v1/w1440/r1.7778/-/01--hlkybxaaedv9axs2048jpeg---f9f2d04fab6b1597.jpg,2026-06-01T03:30:04Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Es geht um Bürgergeld, gekürztes Arbeitslosengeld oder Rentenleistungen - die Klagen bei Thüringens Sozialgerichten steigen. Wie sich die Situati… [+1652 chars]",,de,'Bürgergeld'
https://www.stern.de/gesellschaft/regional/sachsen-anhalt/sozialgerichte--sozialgerichte-melden-mehr-klagen-und-eilverfahren-37472092.html,https://www.stern.de/gesellschaft/regional/sachsen-anhalt/sozialgerichte--sozialgerichte-melden-mehr-klagen-und-eilverfahren-37472092.html,0,www.stern.de,Sozialgerichte: Sozialgerichte melden mehr Klagen und Eilverfahren,"Immer mehr Menschen ziehen vor Gericht, wenn es ums Bürgergeld oder andere Sozialleistungen geht. Sachsen-Anhalt meldet steigende Zahlen. Richter fordern mehr Personal.",https://image.stern.de/37472094/t/77/v1/w1440/r1.7778/-/01--rkizfyllywv1axs2048jpeg---d6190d875b0e3645.jpg,2026-06-01T03:30:10Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Immer mehr Menschen ziehen vor Gericht, wenn es ums Bürgergeld oder andere Sozialleistungen geht. Sachsen-Anhalt meldet steigende Zahlen. Richter… [+1691 chars]",,de,'Bürgergeld'
https://www.zeit.de/politik/2026-05/bundeskanzler-wechsel-friedrich-merz-union-nachrichtenpodcast,https://www.zeit.de/politik/2026-05/bundeskanzler-wechsel-friedrich-merz-union-nachrichtenpodcast,0,www.zeit.de,Bundeskanzler: Gerüchte über Kanzlerwechsel: Wie angeschlagen ist Merz?,Berichte über einen angeblichen Austausch von Friedrich Merz setzen den Kanzler unter Druck. Kann er sich davon erholen? Und: USA fordern Ende des Kubaregimes.,https://img.zeit.de/politik/2026-05/bundeskanzler-wechsel-friedrich-merz-union/wide__1300x731,2026-06-01T04:00:15Z,,"In der vergangenen Woche haben Spekulationen über einen möglichen Kanzlerwechsel für Unruhe in der Union gesorgt. Auslöser waren Medienberichte über angebliche Gedankenspiele, Bundeskanzler Friedrich… [+1926 chars]",,de,'Unterstützung'
https://www.stern.de/politik/ausland/krieg-in-nahost--weitere-todesopfer-im-libanon---immer-wieder-alarm-in-israel-37472504.html,https://www.stern.de/politik/ausland/krieg-in-nahost--weitere-todesopfer-im-libanon---immer-wieder-alarm-in-israel-37472504.html,0,www.stern.de,Krieg in Nahost: Weitere Todesopfer im Libanon - immer wieder Alarm in Israel,Trotz offiziell geltender Waffenruhe greifen Israel und die Hisbollah einander weiter an. Wegen des zuletzt verstärkten Beschusses auf Israel drängt Netanjahu nun auch wieder auf Angriffe in Beirut.,https://image.stern.de/37473112/t/TQ/v1/w1440/r1.7778/-/01--wihwh3r2eev4axs2048jpeg---ea4f69ab80285ee3.jpg,2026-06-01T07:24:58Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Trotz offiziell geltender Waffenruhe greifen Israel und die Hisbollah einander weiter an. Wegen des zuletzt verstärkten Beschusses auf Israel drä… [+1683 chars]",,de,'Benjamin Netanjahu'
https://www.faz.net/aktuell/sport/fussball/champions-league/triumph-fuer-paris-saint-germain-fussball-in-der-hand-von-oel-und-gas-200884696.html,https://www.faz.net/aktuell/sport/fussball/champions-league/triumph-fuer-paris-saint-germain-fussball-in-der-hand-von-oel-und-gas-200884696.html,0,www.faz.net,Was der PSG-Triumph bedeutet: Fußball in der Hand von Öl und Gas,"Die erfolgreiche Titelverteidigung von Paris Saint-Germain zeigt: Die Dominanz der Staatsklubs wird zur Normalität – weshalb man immer wieder daran erinnern muss, dass nichts daran normal ist.",https://media0.faz.net/image/w1200h627/8cbf91afd4cf/w4884h2551x0y352o/202605/43601.0.2165661300/so-sehen-sieger-aus-nasser-al.webp,2026-06-01T07:47:02Z,,"Für den Fußball, sagte am Ende des Abends der frühere Nationalspieler Christoph Kramer im ZDF, für den Fußball sei der Sieg von Paris das verdiente Ergebnis. Er spielte auf den Spielstil des FC Arsen… [+284 chars]",,de,'Gas'
https://www.focus.de/politik/ausland/video-zeigt-wie-ukraine-wichtigste-waffe-gegen-putin-baut_44f3ef52-b500-4812-b1bf-102334166442.html,https://www.focus.de/politik/ausland/video-zeigt-wie-ukraine-wichtigste-waffe-gegen-putin-baut_44f3ef52-b500-4812-b1bf-102334166442.html,0,www.focus.de,"Video zeigt, wie Ukraine „wichtigste Waffe” gegen Putin baut","Eine Spezialeinheit des ukrainischen Militärgeheimdienstes hat der Nachrichtenagentur AP Einblicke in eine ihrer streng geheimen Drohnenbasen gewährt, in der sie die „wichtigsten Waffen” gegen Putin produzieren.","https://quadro.burda-forward.de/ctf/6d685735-4842-48bd-ac6b-7f6c9106c757.c8de9b30-ae47-43bc-a215-3f8bb2cbddcd.png?im=RegionOfInterestCrop=(1200,630),regionOfInterest=(1290,257)&hash=409d27d1da739b7c5219c9c8e3d966188c42b6d078f8916771815d490c28bb80",2026-06-01T09:24:00Z,,"Aufnahmen zeigen die Abläufe in der Drohnenbasis. Sie wurden unkenntlich gemacht und vor Ausstrahlung von den ukrainischen Sicherheitsdiensten geprüft, um sicherzustellen, dass diese Anonymität einge… [+3053 chars]",,de,'Ukraine'
https://www.freitag.de/autoren/velten-schaefer/afd-boom-in-mecklenburg-vorpommern-es-ist-der-krieg-stupid,https://www.freitag.de/autoren/velten-schaefer/afd-boom-in-mecklenburg-vorpommern-es-ist-der-krieg-stupid,0,www.freitag.de,"AfD-Boom in Mecklenburg-Vorpommern: Es ist der Krieg, stupid!","Merz hat Trump den Ukraine-Krieg abgekauft. Nun wird die Rechnung präsentiert – und offene Diskussionen verhindert eine Brandmauer: Wer darüber nicht reden will, kann den bestürzenden Lauf nicht verstehen, den die AfD gerade im Osten hat Ende Dezember 1978, h…",https://www.freitag.de/autoren/velten-schaefer/afd-boom-in-mecklenburg-vorpommern-es-ist-der-krieg-stupid/@@images/image/great,2026-06-01T10:10:00Z,,"Ende Dezember 1978, heutiges Mecklenburg-Vorpommern: Plötzlich stürzen die Temperaturen, dunkle Wolken und starke Winde ziehen herauf. Bald liegen meterhohe Schneewehen über dem Norden der DDR. Straß… [+16211 chars]",,de,'Pipeline'
https://www.zeit.de/politik/ausland/2026-06/gali-baharav-miara-generalstaatsanwaeltin-israel-justiz,https://www.zeit.de/politik/ausland/2026-06/gali-baharav-miara-generalstaatsanwaeltin-israel-justiz,0,www.zeit.de,Benjamin Netanjahu: Generalstaatsanwältin sieht Demokratie unter Netanjahu gefährdet,Angesichts der innenpolitischen Situation in Israel zeigt sich die Generalstaatsanwältin besorgt. Sie warnt unter anderem vor Angriffen auf die Justiz des Landes.,https://img.zeit.de/politik/ausland/2026-06/gali-baharav-miara-generalstaatsanwaeltin-israel-justiz-foto-1/wide__1300x731,2026-06-01T11:31:52Z,,Die israelische Generalstaatsanwältin Gali Baharav-Miara hat vor einem Demokratieabbau in Israel unter Premierminister Benjamin Netanjahu gewarnt. Vor dem Ende der Legislaturperiode habe »ein Wettlau… [+846 chars],,de,'Benjamin Netanjahu'
