keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Kreml',de,Russland,#bb3388,#154c79,3,0.395365686827606
'Olaf Scholz',de,Politik,#22ee22,#3b4a63,3,0.3509481766480311
'Ukraine',de,Russland,#bb3388,#154c79,3,0.3442741639584457
'Krieg',de,Russland,#bb3388,#154c79,3,0.3357585055910404
'Unterstützung',de,Politik,#22ee22,#c4b03b,3,0.2887053591551641
'Bürgergeld',de,Politik,#22ee22,#d64118,3,0.2786009144155366
'Pipeline',de,Russland,#bb3388,#154c79,3,0.2650872287543354
'Gas',de,Winter,#154c79,#9e3215,3,0.2645966416437724
'Katar',de,Politik,#22ee22,#61b00c,3,0.2575782531456663
'Sicherheit',de,Politik,#22ee22,#477515,3,0.2493536354280979
'Industrie',de,Politik,#22ee22,#802d16,3,0.2421002640333218
'sparen',de,Energiekrise,#154c79,#7db344,3,0.2420990685729396
'Saporischschja',de,Russland,#bb3388,#154c79,3,0.2409211553803588
'Energie',de,Energiekrise,#ee4422,#a89216,3,0.2386758902370472
'Wladimir Putin',de,Russland,#bb3388,#154c79,3,0.2262510502551352
'Versorgung',de,Energiekrise,#ee4422,#679e2c,3,0.2068659946374656
'heizen',de,Energiekrise,#ee4422,#b55035,3,0.2065994662129115
'Winter',de,Winter,#154c79,#315fa8,3,0.1989543080800595
'frieren',de,Winter,#154c79,#638ed4,3,0.1645870318078287
'Import',de,Energiekrise,#ee4422,#87830f,3,0.1410831424920303
'Dämmung',de,Winter,#154c79,#022f78,3,0.0823687187663721
'Gasmangel',de,Energiekrise,#ee4422,#bfba22,1,0.0324920539351018
